rsID	COPD	CHD	T2D	OA	SMK_beta
rs10878946	1.9949945593035907	0.9545157780195865	1.902285092491839	1.7334058759521218	-0.00919
rs10962550	1.6427622841965472	2.5624169986719787	2.810358565737052	2.391500664010624	0.00753
rs11088472	2.589541547277937	-0.4369627507163324	-1.2482808022922636	-2.165759312320917	-0.00698
rs11165643	1.7292237442922374	0.6073059360730593	2.6141552511415522	1.6668188736681888	0.00657
rs11208779	2.255378151260504	0.9734453781512605	0.37613445378151256	0.2716806722689076	0.0119
rs112725451	2.5721929824561403	2.066666666666667	1.1107017543859647	0.1674561403508772	0.0114
rs11713193	4.227917981072555	2.1004731861198738	3.873659305993691	3.265299684542587	0.00634
rs12027999	3.0896503496503493	1.7215384615384617	-1.5454545454545456	0.6993006993006993	-0.0143
rs12495178	0.9741584158415842	0.5251485148514852	1.5531683168316832	0.6123762376237625	-0.0101
rs12652212	2.9794542536115567	1.2170144462279293	2.477207062600321	1.5783306581059389	0.00623
rs1296328	1.30078125	0.140625	3.4715625	0.9535937499999999	-0.0064
rs13021737	2.611038961038961	1.417142857142857	3.451753246753247	2.328376623376623	0.0154
rs13026245	3.867177522349936	-4.9441890166028095	0.18314176245210728	0.834610472541507	0.00783
rs13030994	2.3225477707006372	0.4080254777070064	-0.5928025477707006	0.255859872611465	0.0157
rs1343424	1.5923529411764705	0.8465686274509804	1.193529411764706	0.7002941176470587	0.0102
rs1435741	2.720820895522388	0.060074626865671645	-0.0682089552238806	-0.5459701492537313	0.0134
rs1445649	0.855205047318612	-0.07528916929547845	-0.644584647739222	0.7643533123028392	0.00951
rs1656377	0.99232995658466	-1.4895803183791605	-2.3370477568740955	0.23589001447178	-0.00691
rs1899896	1.7303333333333335	-0.02783333333333333	0.5006666666666667	-0.5108333333333334	0.012
rs197374	3.026385224274406	-0.23166226912928758	3.7098944591029026	1.2110817941952507	0.00758
rs1993709	0.69	1.1263106796116504	3.952330097087379	2.837087378640777	0.0103
rs2240294	1.881188118811881	0.47648514851485146	-0.02004950495049505	1.0106435643564355	-0.00808
rs2271189	-0.09953846153846155	-0.5215384615384615	1.1393846153846154	1.1758461538461538	-0.0065
rs2351524	1.9715686274509803	-9.411960784313726	2.792941176470588	1.8816666666666666	0.0102
rs2357760	0.6126614987080102	1.1001291989664082	2.17984496124031	0.8050387596899224	0.00774
rs240963	1.109142857142857	1.2087999999999999	1.050342857142857	0.6896571428571427	-0.0175
rs2612576	1.6182281059063135	0.115071283095723	2.1137474541751526	-0.024032586558044803	0.00982
rs266047	0.40059701492537314	0.6204477611940299	0.5853731343283582	0.5553731343283582	-0.0134
rs3001723	1.090472972972973	-0.0960135135135135	-0.6302702702702702	-0.18959459459459457	0.0148
rs3800229	0.17341935483870968	1.6015483870967742	1.8085161290322582	0.9978064516129033	0.00775
rs3847244	1.9355064027939461	0.38230500582072174	0.023050058207217693	0.529569266589057	0.00859
rs40067	2.139054726368159	1.868283582089552	2.731592039800995	0.04253731343283582	-0.00804
rs4044321	2.687022900763359	0.4564885496183206	-0.09122137404580154	-0.1429007633587786	-0.0131
rs4757144	1.732612055641422	-2.6255023183925807	-2.631839258114374	-2.8151468315301393	-0.00647
rs4820408	-0.7402147971360382	1.7694510739856801	-1.523747016706444	0.9582338902147972	0.00838
rs539447	3.3370699223085456	0.20677025527192008	-1.0430632630410654	0.08579356270810211	0.00901
rs560887	1.9981042654028436	3.4011058451816747	1.4461295418641391	-3.008214849921011	0.00633
rs6050446	2.43815873015873	1.2524444444444445	1.2187619047619047	0.904031746031746	0.0315
rs6235	0.3613193403298351	0.4472263868065967	-1.1238380809595203	2.5521739130434784	0.00667
rs6265	1.8437142857142859	1.5583571428571428	1.2006428571428571	1.4189285714285715	-0.014
rs6425819	-0.3673170731707317	-0.23008130081300812	-0.4954471544715447	-1.0398373983739837	0.00615
rs6545714	3.207670850767085	1.9454672245467224	4.195397489539749	0.4323570432357043	-0.00717
rs7084454	3.0203389830508476	1.3246610169491524	-0.5705084745762712	1.7653389830508475	0.0118
rs7181498	0.7565840938722295	1.0135593220338983	1.904302477183833	1.7539765319426337	-0.00767
rs7310615	1.6502269288956124	8.090468986384266	1.9881996974281388	-0.9334341906202723	-0.00661
rs7322872	1.1447222222222222	-0.011481481481481481	0.9473148148148148	1.4677777777777778	-0.0108
rs73229090	4.280765550239235	1.634641148325359	0.2436842105263158	0.18492822966507177	-0.0209
rs7551507	0.991036717062635	0.3317494600431966	0.16306695464362853	1.3562634989200866	-0.00926
rs7689452	0.9053982300884956	-0.00017699115044247788	0.318141592920354	0.38097345132743365	-0.0113
rs7730004	1.783016304347826	0.23532608695652174	2.2759510869565216	0.7686141304347825	0.00736
rs7730898	4.431914893617022	1.3563829787234043	2.3356382978723405	1.8969414893617023	0.00752
rs7921378	1.19264	-0.28959999999999997	-1.19688	-0.48784	-0.0125
rs7938812	2.084540540540541	0.6156216216216216	-0.05616216216216217	0.7537297297297297	0.0185
rs8067305	1.5411831626848693	1.7509670079635953	-1.9106939704209331	1.9336746302616614	0.00879
